Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vip-10mg,VIP,"<p>
  This batch of VIP Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: VIP (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.44%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,5mg,,,,,,0.0,shopify,1000,deny,manual,75.00,98.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/VIP.png?v=1776996809,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/VIP_2.png?v=1776996809,kg,,9.00,draft
vip-10mg,,,,,,,,,Vial,,,10mg,,,,,,0.0,shopify,1000,deny,manual,125.00,164.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/VIP_2.png?v=1776996809,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/VIP_4.png?v=1776996809,kg,,16.00,
vip-10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/VIP_4.png?v=1776996809,3,"",,,,,,,,
tirzepatide-5mg,Tirzepatide,"<p>
  This batch of Tirzepatide Peptide has been third-party laboratory tested and verified for quality and consistency. Manufactured under controlled conditions, it is prepared to support reliable use within research environments.
</p>

<div style=""margin:14px 0; padding:14px 16px; background:#f4f6f8; border:1px solid #d9e0e6; border-radius:8px; color:#1f2a37;"">
  <strong style=""display:block; margin-bottom:4px;"">Research Use Notice:</strong>
  <span>This product is intended strictly for research and laboratory use only. Not for human consumption, medical use, or diagnostic purposes.</span>
</div>

<p>
  Contents: Tirzepatide (Peptide Compound)<br>
  Form: Lyophilized Powder<br>
  Purity: 99.3%<br>
  Grade: Research Grade<br>
  Storage: Store in a cool, dry environment under proper laboratory conditions<br>
  Handling: Follow standard laboratory safety protocols
</p>",Canada Peptides,Business & Industrial > Science & Laboratory > Biochemicals,"","",false,Type,Vial,,Weight,5mg,,,,,,0.0,shopify,1000,deny,manual,50.00,67.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide.png?v=1776996808,1,"",false,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_2.png?v=1776996808,kg,,5.00,draft
tirzepatide-5mg,,,,,,,,,Vial,,,10mg,,,,,,0.0,shopify,1000,deny,manual,70.00,92.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_2.png?v=1776996808,2,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_4.png?v=1776996808,kg,,7.00,
tirzepatide-5mg,,,,,,,,,Vial,,,15mg,,,,,,0.0,shopify,1000,deny,manual,90.00,118.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_4.png?v=1776996808,3,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_6.png?v=1776996808,kg,,9.00,
tirzepatide-5mg,,,,,,,,,Vial,,,20mg,,,,,,0.0,shopify,1000,deny,manual,110.00,146.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_6.png?v=1776996808,4,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_8.png?v=1776996807,kg,,11.00,
tirzepatide-5mg,,,,,,,,,Vial,,,30mg,,,,,,0.0,shopify,1000,deny,manual,140.00,184.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_8.png?v=1776996807,5,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_10.png?v=1776996808,kg,,14.00,
tirzepatide-5mg,,,,,,,,,Vial,,,40mg,,,,,,0.0,shopify,1000,deny,manual,170.00,223.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_10.png?v=1776996808,6,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_12.png?v=1776996807,kg,,17.00,
tirzepatide-5mg,,,,,,,,,Vial,,,50mg,,,,,,0.0,shopify,1000,deny,manual,200.00,262.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_12.png?v=1776996807,7,"",,,,https://cdn.shopify.com/s/files/1/0826/0632/6003/files/Tirzepatide_14.png?v=1776996808,kg,,20.00,
